Subject,Code,Code Description,Year,Code Type
Math,6.RP.1,Understand the concept of a ratio and use ratio language to describe a ratio relationship between two quantities.,6,Ratios & Proportional Relationships
Math,6.RP.2,"Understand the concept of a unit rate a/b associated with a ratio a:b with b ≠ 0, and use rate language in the context of a ratio relationship.",6,Ratios & Proportional Relationships
Math,6.RP.3,"Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations.",6,Ratios & Proportional Relationships
Math,6.NS.1," Interpret and compute quotients of fractions, and solve word problems involving division of fractions by fractions, e.g., by using visual fraction models and equations to represent the problem. ",6,The Number System
Math,6.NS.2,Fluently divide multi-digit numbers using the standard algorithm.,6,The Number System
Math,6.NS.3,"Fluently add, subtract, multiply, and divide multi-digit decimals using the standard algorithm for each operation.",6,The Number System
Math,6.NS.4,Find the greatest common factor of two whole numbers less than or equal to 100 and the least common multiple of two whole numbers less than or equal to 12. Use the distributive property to express a sum of two whole numbers 1–100 with a common factor as a multiple of a sum of two whole numbers with no common factor.,6,The Number System
Math,6.NS.5,"Understand that positive and negative numbers are used together to describe quantities having opposite directions or values (e.g., temperature above/below zero, elevation above/below sea level, credits/debits, positive/negative electric charge); use positive and negative numbers to represent quantities in real-world contexts, explaining the meaning of 0 in each situation.",6,The Number System
Math,6.NS.6,Understand a rational number as a point on the number line. Extend number line diagrams and coordinate axes familiar from previous grades to represent points on the line and in the plane with negative number coordinates. ,6,The Number System
Math,6.NS.7,Understand ordering and absolute value of rational numbers.,6,The Number System
Math,6.NS.8,Solve real-world and mathematical problems by graphing points in all four quadrants of the coordinate plane. Include use of coordinates and absolute value to find distances between points with the same first coordinate or the same second coordinate.,6,The Number System
Math,6.EE.1,Write and evaluate numerical expressions involving whole-number exponents.,6,Expressions & Equations
Math,6.EE.2,"Write, read, and evaluate expressions in which letters stand for numbers.",6,Expressions & Equations
Math,6.EE.3,Apply the properties of operations to generate equivalent expressions. ,6,Expressions & Equations
Math,6.EE.4,Identify when two expressions are equivalent,6,Expressions & Equations
Math,6.EE.5,"Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.",6,Expressions & Equations
Math,6.EE.6,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set.",6,Expressions & Equations
Math,6.EE.7,"Solve real-world and mathematical problems by writing and solving equations of the form x + p = q and px = q for cases in which p, q and x are all nonnegative rational numbers.",6,Expressions & Equations
Math,6.EE.8,Write an inequality of the form x > c or x < c to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form x > c or x < c have infinitely many solutions; represent solutions of such inequalities on number line diagrams.Write an inequality of the form x > c or x < c to represent a constraint or condition in a real-world or mathematical problem. ,6,Expressions & Equations
