Subject,Code,Code Description
Math,Ratios & Proportions,RP
Math,6.RP.1,Understand the concept of a ratio and use ratio language to describe a ratio relationship between two quantities.
Math,6.RP.2,"Understand the concept of a unit rate a/b associated with a ratio a:b with b ≠ 0, and use rate language in the context of a ratio relationship."
Math,6.RP.3,"Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations."
Math,Number System,NS
Math,6.NS.1," Interpret and compute quotients of fractions, and solve word problems involving division of fractions by fractions, e.g., by using visual fraction models and equations to represent the problem. "
Math,6.NS.2,"Fluently divide multi-digit numbers using the standard algorithm.
"
Math,6.NS.3,"Fluently add, subtract, multiply, and divide multi-digit decimals using the standard algorithm for each operation.
"
Math,6.NS.4,Find the greatest common factor of two whole numbers less than or equal to 100 and the least common multiple of two whole numbers less than or equal to 12. Use the distributive property to express a sum of two whole numbers 1–100 with a common factor as a multiple of a sum of two whole numbers with no common factor.
Math,6.NS.5,"Understand that positive and negative numbers are used together to describe quantities having opposite directions or values (e.g., temperature above/below zero, elevation above/below sea level, credits/debits, positive/negative electric charge); use positive and negative numbers to represent quantities in real-world contexts, explaining the meaning of 0 in each situation."
Math,6.NS.6,Understand a rational number as a point on the number line. Extend number line diagrams and coordinate axes familiar from previous grades to represent points on the line and in the plane with negative number coordinates. 
Math,6.NS.7,Understand ordering and absolute value of rational numbers.
Math,6.NS.8,Solve real-world and mathematical problems by graphing points in all four quadrants of the coordinate plane. Include use of coordinates and absolute value to find distances between points with the same first coordinate or the same second coordinate.
Math,Expressions and Equations,EE
Math,6.EE.1,Write and evaluate numerical expressions involving whole-number exponents.
Math,6.EE.2,"Write, read, and evaluate expressions in which letters stand for numbers."
Math,6.EE.3,Apply the properties of operations to generate equivalent expressions. 
Math,6.EE.4,Identify when two expressions are equivalent
Math,6.EE.5,"Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true."
Math,6.EE.6,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set."
Math,6.EE.7,"Solve real-world and mathematical problems by writing and solving equations of the form x + p = q and px = q for cases in which p, q and x are all nonnegative rational numbers."
Math,6.EE.8,Write an inequality of the form x > c or x < c to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form x > c or x < c have infinitely many solutions; represent solutions of such inequalities on number line diagrams.
Math,6.EE.9,"Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation. For example, in a problem involving motion at constant speed, list and graph ordered pairs of distances and times, and write the equation d = 65t to represent the relationship between distance and time."
Math,Geometry,G
Math,6.G.1,"Find the area of right triangles, other triangles, special quadrilaterals, and polygons by composing into rectangles or decomposing into triangles and other shapes; apply these techniques in the context of solving real-world and mathematical problems."
Math,6.G.2,"Find the volume of a right rectangular prism with fractional edge lengths by packing it with unit cubes of the appropriate unit fraction edge lengths, and show that the volume is the same as would be found by multiplying the edge lengths of the prism. Apply the formulas V = l w h and V = b h to find volumes of right rectangular prisms with fractional edge lengths in the context of solving real-world and mathematical problems."
Math,6.G.3,Draw polygons in the coordinate plane given coordinates for the vertices; use coordinates to find the length of a side joining points with the same first coordinate or the same second coordinate. Apply these techniques in the context of solving real-world and mathematical problems.
Math,6.G.4,"Represent three-dimensional figures using nets made up of rectangles and triangles, and use the nets to find the surface area of these figures. Apply these techniques in the context of solving real-world and mathematical problems."
Math,Social Processes,SP
Math,6.SP.1,Recognize a statistical question as one that anticipates variability in the data related to the question and accounts for it in the answers.
Math,6.SP.2,"Understand that a set of data collected to answer a statistical question has a distribution which can be described by its center, spread, and overall shape."
Math,6.SP.3,"Recognize that a measure of center for a numerical data set summarizes all of its values with a single number, while a measure of variation describes how its values vary with a single number."
Math,6.SP.4,"Display numerical data in plots on a number line, including dot plots, histograms, and box plots."
Math,6.SP.5,Summarize numerical data sets in relation to their context
Science,Reading In Science and Technology,RST
Science,RST.6-8.1,Cite specific textual evidence to support analysis of science and technical texts.
Science,RST.6-8.2,Determine the central ideas or conclusions of a text; provide an accurate summary of the text distinct from prior knowledge or opinions.
Science,RST.6-8.3,"Follow precisely a multistep procedure when carrying out experiments, taking measurements, or performing technical tasks."
Science,RST.6-8.4,"Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 6–8 texts and topics."
Science,RST.6-8.5,"Analyze the structure an author uses to organize a text, including how the major sections contribute to the whole and to an understanding of the topic."
Science,RST.6-8.6,"Analyze the author’s purpose in providing an explanation, describing a procedure, or discussing an experiment in a text."
Science,RST.6-8.7,"Integrate quantitative or technical information expressed in words in a text with a version of that information expressed visually (e.g., in a flowchart, diagram, model, graph, or table)."
Science,RST.6-8.8,"Distinguish among facts, reasoned judgment based on research findings, and speculation in a text."
